loan_account_number;installment_number;actual_payment_date;scheduled_payment_date;installment_amount;principal_component;interest_component;kkdf_component;bsmv_component;installment_status;remaining_principal;remaining_interest;remaining_kkdf;remaining_bsmv
LOAN_000393;5;;2025-11-28;9550;9570;699.27;0;44.22;A;9570;746.39;0;41.22
LOAN_000393;6;;2025-12-29;9910;11450;446.86;0;21.83;A;10030;431.04;0;18.10
LOAN_000402;1;;2025-09-11;39050;38550;0;0;0;A;43550;0;0;0
LOAN_000849;1;;2025-09-13;1450;1420;0;0;0;A;1640;0;0;0
LOAN_002529;1;;2025-09-01;43230;43340;0;0;0;A;46680;0;0;0
LOAN_000426;1;;2025-09-10;11190;11950;0;0;0;A;14190;0;0;0
LOAN_002636;1;;2025-09-06;53180;46500;0;0;0;A;52190;0;0;0
LOAN_001949;1;;2025-09-02;7300;8030;0;0;0;A;8820;0;0;0
LOAN_002788;1;;2025-07-28;32670;35600;2640.08;0;137.91;A;32210;2313.49;0;133.34
LOAN_002788;2;;2025-08-28;38260;32140;1428.06;0;73.00;A;31910;1415.72;0;78.60
LOAN_003310;1;;2025-09-13;14160;15840;0;0;0;A;15060;0;0;0
LOAN_001451;1;;2025-09-06;14520;15410;0;0;0;A;16420;0;0;0
LOAN_003047;1;;2025-07-21;26870;14520;8085.21;0;436.50;A;18010;8099.73;0;461.33
LOAN_003047;10;;2026-04-20;24400;26650;1102.55;0;44.77;A;21760;850.89;0;48.01
LOAN_003047;2;;2025-08-18;22190;17810;5950.05;0;382.61;A;15430;6076.98;0;298.09
LOAN_003047;3;;2025-09-18;27860;16770;6940.46;0;392.86;A;17390;6300.07;0;391.68
LOAN_003047;4;;2025-10-17;25170;16440;5320.40;0;307.37;A;19230;6517.63;0;244.13
LOAN_003047;5;;2025-11-18;26920;21570;5714.60;0;299.73;A;16530;5846.61;0;282.03
LOAN_003047;6;;2025-12-18;27990;21580;4325.62;0;209.90;A;22630;4376.79;0;212.91
LOAN_003047;7;;2026-01-16;23860;23460;3863.60;0;156.62;A;18360;3879.53;0;195.81
LOAN_003047;8;;2026-02-18;25750;20840;2844.26;0;151.30;A;18880;2622.58;0;135.35
LOAN_003047;9;;2026-03-20;21450;21470;2011.72;0;89.96;A;24800;1834.29;0;89.78
LOAN_000579;1;;2025-07-25;11800;8980;801.78;0;40.17;A;9470;822.06;0;53.21
LOAN_000579;2;;2025-08-22;10920;8670;700.35;0;38.33;A;8760;821.55;0;38.12
LOAN_000579;3;;2025-09-24;10020;10890;631.26;0;28.47;A;10500;661.39;0;34.79
LOAN_000579;4;;2025-10-24;9590;11190;385.51;0;20.85;A;11470;402.85;0;20.80
LOAN_000579;5;;2025-11-24;11210;9220;225.67;0;11.87;A;10720;197.84;0;10.70
LOAN_001808;1;;2025-07-29;8600;7410;1489.44;0;88.64;A;6010;1509.24;0;76.01
LOAN_001808;2;;2025-08-29;7240;6630;1332.17;0;69.60;A;7030;1542.62;0;66.84
LOAN_001808;3;;2025-09-26;8230;6810;931.46;0;43.51;A;6650;743.16;0;49.99
LOAN_001808;4;;2025-10-29;8180;8050;502.16;0;24.43;A;6880;542.21;0;26.20
LOAN_003498;1;;2025-09-09;42330;42510;0;0;0;A;43290;0;0;0
LOAN_002825;1;;2025-09-04;16350;14800;0;0;0;A;15660;0;0;0
LOAN_003875;1;;2025-07-28;66530;69320;7193.26;0;412.70;A;59220;9084.63;0;375.41
LOAN_003875;2;;2025-08-28;69500;66140;6397.64;0;329.51;A;73260;6500.11;0;308.61
LOAN_003875;3;;2025-09-27;78460;73840;3350.01;0;168.22;A;77980;3212.81;0;135.71
LOAN_002139;1;;2025-07-28;22610;15840;5154.30;0;261.96;A;15630;5383.55;0;245.97
LOAN_002139;2;;2025-08-28;20550;18700;5234.43;0;260.85;A;17400;5754.06;0;226.00
LOAN_002139;3;;2025-09-27;22780;16340;4291.69;0;245.78;A;18050;4532.60;0;255.79
LOAN_002139;4;;2025-10-28;25310;18620;4345.16;0;201.17;A;20050;4228.20;0;217.41
LOAN_002139;5;;2025-11-27;20100;18030;2934.17;0;173.61;A;23210;3153.52;0;176.67
LOAN_002139;6;;2025-12-28;20950;21290;2365.36;0;116.49;A;21530;2684.77;0;129.62
LOAN_002139;7;;2026-01-28;24010;19270;1573.72;0;72.46;A;23000;1846.76;0;90.14
LOAN_002139;8;;2026-02-27;20710;24880;757.94;0;46.23;A;23270;821.41;0;36.78
LOAN_001404;1;;2025-07-29;191160;179920;14200.38;0;638.40;A;141490;13935.65;0;701.50
LOAN_001404;2;;2025-08-29;182850;187770;10125.21;0;517.62;A;175210;11396.67;0;490.40
LOAN_001404;3;;2025-09-28;172300;186380;5208.13;0;234.86;A;160030;4704.64;0;253.36
LOAN_003570;1;;2025-09-06;16020;16810;0;0;0;A;13450;0;0;0
LOAN_002376;1;;2025-09-13;30490;28770;0;0;0;A;27280;0;0;0
LOAN_000602;1;;2025-09-02;4140;3720;0;0;0;A;4360;0;0;0
LOAN_002918;1;;2025-09-02;6540;7200;0;0;0;A;5740;0;0;0
LOAN_002092;1;;2025-09-10;8140;7800;0;0;0;A;9300;0;0;0
LOAN_002656;1;;2025-09-02;23680;26440;0;0;0;A;28660;0;0;0
LOAN_002862;1;;2025-09-14;48400;55160;0;0;0;A;43590;0;0;0
LOAN_003367;1;;2025-09-02;47170;49390;0;0;0;A;54150;0;0;0
LOAN_001529;1;;2025-07-25;61680;43880;8415.78;0;504.25;A;47940;10618.20;0;427.33
LOAN_001529;2;;2025-08-22;55790;55120;6465.36;0;334.93;A;58970;5875.31;0;328.26
LOAN_001529;3;;2025-09-24;60560;55590;3772.76;0;208.11;A;57640;3274.54;0;208.50
LOAN_001175;1;;2025-07-24;23790;20810;3962.18;594.26;182.63;A;24490;3204.79;529.77;160.78
LOAN_001175;2;;2025-08-21;29380;25690;2807.65;417.47;108.11;A;24000;2206.69;386.64;123.11
LOAN_001175;3;;2025-09-19;26080;24880;1990.53;286.09;76.17;A;22390;1595.93;281.55;84.03
LOAN_001175;4;;2025-10-21;23970;27820;1074.64;167.93;51.17;A;27610;885.08;167.23;50.74
LOAN_004433;1;;2025-07-24;9970;8820;997.13;138.18;45.61;A;11210;1001.86;131.48;51.04
LOAN_004433;2;;2025-08-21;10990;10980;417.70;72.53;20.28;A;11080;397.14;74.96;22.04
LOAN_001522;1;;2025-09-09;27450;30470;0;0;0;A;31540;0;0;0
LOAN_003660;1;;2025-09-07;17310;17350;0;0;0;A;19950;0;0;0
LOAN_002349;1;;2025-09-06;41910;48780;0;0;0;A;40850;0;0;0
LOAN_002077;1;;2025-09-02;18300;17860;0;0;0;A;15980;0;0;0
LOAN_002292;1;;2025-09-09;32300;41720;0;0;0;A;38500;0;0;0
LOAN_003246;1;;2025-09-11;15700;16200;0;0;0;A;15520;0;0;0
LOAN_001560;1;;2025-09-13;15920;20980;0;0;0;A;18240;0;0;0
LOAN_000668;1;;2025-09-06;16140;12720;0;0;0;A;15320;0;0;0
LOAN_003438;1;;2025-09-15;28100;22470;0;0;0;A;28730;0;0;0
LOAN_004278;1;;2025-09-10;9300;11310;0;0;0;A;11560;0;0;0
LOAN_001743;1;;2025-07-28;268690;254950;20169.47;0;969.01;A;210150;22436.88;0;1118.33
LOAN_001743;2;;2025-08-28;263220;264110;16841.75;0;849.63;A;275970;16466.66;0;774.30
LOAN_001743;3;;2025-09-27;279360;286970;8491.19;0;441.16;A;272120;8612.07;0;426.79
LOAN_001289;1;;2025-07-29;97600;98150;9158.39;0;455.82;A;111090;9437.17;0;415.25
LOAN_001289;2;;2025-08-29;103560;115600;4946.63;0;266.77;A;97940;5618.01;0;258.23
LOAN_004052;1;;2025-07-22;34630;32260;11416.42;0;567.21;A;27800;9974.33;0;591.03
LOAN_004052;2;;2025-08-19;36680;33250;7591.97;0;401.64;A;28810;8391.74;0;459.78
LOAN_004052;3;;2025-09-19;34430;32220;8391.82;0;373.40;A;28710;8608.07;0;376.71
LOAN_004052;4;;2025-10-17;38350;37460;5532.49;0;288.45;A;35770;6003.45;0;256.58
LOAN_004052;5;;2025-11-19;44960;39230;4089.51;0;237.86;A;30480;4928.31;0;226.03
LOAN_004052;6;;2025-12-19;37610;43450;2236.56;0;95.35;A;42610;2007.20;0;96.97
LOAN_000322;1;;2025-09-15;46000;47370;0;0;0;A;41530;0;0;0
LOAN_002176;1;;2025-08-31;49390;64100;0;0;0;A;60980;0;0;0
LOAN_003455;1;;2025-07-28;29490;22210;9079.67;0;407.30;A;24420;8502.20;0;417.33
LOAN_003455;2;;2025-08-28;35960;26810;8288.20;0;457.03;A;22410;9130.97;0;406.81
LOAN_003455;3;;2025-09-26;37540;28300;6016.99;0;358.37;A;23500;7816.63;0;326.79
LOAN_003455;4;;2025-10-28;36050;30870;5068.21;0;302.52;A;26220;5426.74;0;283.14
LOAN_003455;5;;2025-11-27;35250;28420;3299.11;0;214.97;A;30770;3511.42;0;171.04
LOAN_003455;6;;2025-12-28;33100;32430;2132.39;0;90.99;A;27460;1744.93;0;101.01
LOAN_002591;1;;2025-09-06;33750;41970;0;0;0;A;32200;0;0;0
LOAN_004323;1;;2025-07-18;56130;42900;3506.60;478.18;183.10;A;53250;4198.71;529.86;172.37
LOAN_004323;2;;2025-08-16;45900;53940;1619.69;237.62;101.90;A;54670;1898.91;310.10;84.16
LOAN_002909;1;;2025-09-07;12720;15160;0;0;0;A;17100;0;0;0
LOAN_000547;1;;2025-09-06;16000;15620;0;0;0;A;20880;0;0;0
LOAN_001611;1;;2025-09-06;16850;15960;0;0;0;A;16900;0;0;0
LOAN_001192;1;;2025-09-05;2430;2370;0;0;0;A;2480;0;0;0
LOAN_002944;1;;2025-07-25;126510;92990;31636.78;0;1992.22;A;83810;29640.61;0;1632.75
LOAN_002944;2;;2025-08-22;114990;104950;26131.70;0;1465.23;A;86300;25528.01;0;1457.48
LOAN_002944;3;;2025-09-23;127510;90140;24565.84;0;1488.51;A;117320;26973.09;0;1457.17
LOAN_002944;4;;2025-10-23;146170;115570;16017.22;0;887.44;A;99460;21508.13;0;894.60
LOAN_002944;5;;2025-11-21;144610;121490;12822.79;0;611.35;A;128410;13971.83;0;533.80
LOAN_002944;6;;2025-12-23;128600;126850;7828.90;0;341.81;A;128180;7069.78;0;361.64
LOAN_001073;1;;2025-09-03;5700;5320;0;0;0;A;5310;0;0;0
LOAN_000334;1;;2025-08-30;67610;78910;0;0;0;A;79160;0;0;0
LOAN_003900;1;;2025-09-01;7520;9150;0;0;0;A;7450;0;0;0
LOAN_000515;1;;2025-07-25;9280;9110;833.69;0;39.59;A;8970;858.98;0;47.90
LOAN_000515;2;;2025-08-22;9710;8310;794.47;0;42.56;A;8610;680.83;0;43.61
LOAN_000515;3;;2025-09-24;8870;7740;685.81;0;37.96;A;7470;672.76;0;38.53
LOAN_000515;4;;2025-10-24;8950;8540;445.49;0;23.15;A;9510;528.11;0;26.03
LOAN_000515;5;;2025-11-24;9530;8670;334.56;0;15.78;A;9160;307.02;0;18.70
LOAN_000515;6;;2025-12-25;9360;9920;153.10;0;10.34;A;9930;178.41;0;10.19
LOAN_002751;1;;2025-09-05;2850;2630;0;0;0;A;2200;0;0;0
LOAN_001771;1;;2025-09-09;23000;28370;0;0;0;A;27320;0;0;0
LOAN_002265;1;;2025-09-01;38840;42210;0;0;0;A;33750;0;0;0
LOAN_002450;1;;2025-09-07;13730;12820;0;0;0;A;12290;0;0;0
LOAN_000296;1;;2025-07-25;7870;9000;857.37;135.52;39.66;A;6970;871.84;151.20;47.40
LOAN_000296;2;;2025-08-22;9250;9070;881.71;125.05;38.74;A;7420;881.94;132.64;35.47
LOAN_000296;3;;2025-09-24;9840;8370;737.40;119.13;42.52;A;7900;842.03;126.71;42.69
LOAN_000296;4;;2025-10-24;10390;8630;481.17;84.74;23.12;A;9600;438.35;80.99;26.20
LOAN_000296;5;;2025-11-24;10100;9090;389.34;58.61;16.16;A;9540;318.35;60.17;15.59
LOAN_000296;6;;2025-12-25;10050;8790;198.56;26.60;8.94;A;9450;200.37;24.27;8.98
LOAN_001686;1;;2025-07-30;215740;245990;18568.46;0;1021.79;A;258070;20257.24;0;935.00
LOAN_001686;2;;2025-08-30;217660;210000;14468.25;0;805.06;A;207190;15821.54;0;648.03
LOAN_001686;3;;2025-09-29;275340;224260;6224.73;0;382.35;A;242770;7103.26;0;340.56
LOAN_003428;1;;2025-07-14;12580;12350;2581.05;466.20;142.47;A;10720;2711.04;437.04;156.08
LOAN_003428;2;;2025-08-11;15710;13110;2376.11;288.80;118.21;A;11800;1841.49;284.24;117.62
LOAN_003428;3;;2025-09-11;15710;13460;1707.22;331.18;109.79;A;10450;2013.37;252.31;99.41
LOAN_003428;4;;2025-10-11;12960;11730;1262.86;209.86;74.68;A;11400;1500.64;241.52;78.87
LOAN_003428;5;;2025-11-11;15220;11700;1074.19;145.07;45.60;A;15120;1113.05;150.05;49.54
LOAN_003428;6;;2025-12-11;16420;13990;496.82;73.08;24.17;A;12540;570.01;65.22;25.82
LOAN_000056;1;;2025-07-24;4090;2900;1776.02;0;70.15;A;3020;1315.16;0;66.82
LOAN_000056;2;;2025-08-21;4080;3330;1188.31;0;56.50;A;3030;1225.86;0;53.34
LOAN_000056;3;;2025-09-19;5350;3910;1123.66;0;51.63;A;3700;1055.92;0;51.21
LOAN_000056;4;;2025-10-21;5190;3650;1215.37;0;51.59;A;3650;993.85;0;52.93
LOAN_000056;5;;2025-11-21;5070;3270;760.87;0;43.78;A;4070;948.18;0;44.72
LOAN_000056;6;;2025-12-19;4390;4190;510.32;0;29.37;A;4580;636.44;0;28.21
LOAN_000056;7;;2026-01-21;4600;4540;460.98;0;21.05;A;4030;462.24;0;23.59
LOAN_000056;8;;2026-02-21;5380;4020;245.22;0;11.53;A;4300;208.24;0;10.06
LOAN_001462;1;;2025-07-28;8530;7350;784.17;0;50.35;A;7210;844.36;0;44.16
LOAN_001462;2;;2025-08-28;7390;7330;656.25;0;34.01;A;6480;620.39;0;30.21
LOAN_001462;3;;2025-09-27;7240;7690;379.77;0;16.36;A;7890;394.29;0;18.83
LOAN_000478;1;;2025-09-02;38370;45380;0;0;0;A;39530;0;0;0
LOAN_000333;1;;2025-09-07;10570;9770;0;0;0;A;11340;0;0;0
LOAN_001189;1;;2025-09-04;11290;12660;0;0;0;A;13080;0;0;0
LOAN_000497;1;;2025-09-03;5980;5870;0;0;0;A;5020;0;0;0
LOAN_000772;1;;2025-07-16;7230;9570;0;0;0;A;7250;0;0;0
LOAN_000772;2;;2025-08-13;7120;8600;0;0;0;A;7690;0;0;0
LOAN_000772;3;;2025-09-13;9550;7400;0;0;0;A;7730;0;0;0
LOAN_000772;4;;2025-10-13;9010;9090;0;0;0;A;7790;0;0;0
LOAN_000772;5;;2025-11-13;8010;7680;0;0;0;A;9550;0;0;0
LOAN_000772;6;;2025-12-13;8920;7230;0;0;0;A;7790;0;0;0
LOAN_003036;1;;2025-09-06;20180;16610;0;0;0;A;17540;0;0;0
LOAN_002227;1;;2025-09-07;50300;47640;0;0;0;A;55520;0;0;0
LOAN_001010;1;;2025-07-25;54770;44400;10132.86;0;468.15;A;46800;9244.70;0;435.48
LOAN_001010;2;;2025-08-22;50610;47820;5973.19;0;279.99;A;48480;6249.70;0;329.00
LOAN_001010;3;;2025-09-24;59190;53170;3978.38;0;168.83;A;54530;3415.42;0;182.26
LOAN_003753;1;;2025-09-08;30200;25140;0;0;0;A;25900;0;0;0
LOAN_003054;1;;2025-07-25;195930;168230;25504.44;0;1076.18;A;148590;22323.04;0;1000.66
LOAN_003054;2;;2025-08-24;209000;202230;10533.91;0;560.58;A;198960;10600.67;0;629.42
LOAN_001168;1;;2025-07-18;8950;6270;2975.02;0;139.53;A;7980;2510.35;0;134.17
LOAN_001168;2;;2025-08-15;9850;6850;1923.13;0;113.70;A;7950;2089.38;0;103.14
LOAN_001168;3;;2025-09-15;11190;8010;2276.12;0;91.00;A;9290;2126.84;0;108.27
LOAN_001168;4;;2025-10-15;9790;9080;1368.83;0;77.77;A;9340;1438.07;0;83.36
LOAN_001168;5;;2025-11-14;9860;9460;1183.17;0;59.44;A;8030;962.47;0;52.89
LOAN_001168;6;;2025-12-16;10150;9530;560.98;0;25.71;A;8440;558.46;0;27.30
LOAN_003201;1;;2025-09-08;22410;21970;0;0;0;A;22330;0;0;0
LOAN_000252;1;;2025-09-02;19080;18650;0;0;0;A;18210;0;0;0
LOAN_004315;1;;2025-09-09;19130;16840;0;0;0;A;18830;0;0;0
LOAN_002147;1;;2025-09-12;1500;1340;0;0;0;A;1460;0;0;0
LOAN_000123;1;;2025-09-11;15270;15580;0;0;0;A;14980;0;0;0
LOAN_000711;1;;2025-09-10;8790;8690;0;0;0;A;7730;0;0;0
LOAN_000553;1;;2025-09-13;41000;36030;0;0;0;A;35020;0;0;0
LOAN_001260;1;;2025-07-25;39480;31690;10629.62;0;458.12;A;26040;10973.74;0;553.18
LOAN_001260;2;;2025-08-22;39140;35350;9694.48;0;393.56;A;30920;9388.38;0;395.05
LOAN_001260;3;;2025-09-24;45330;31000;9044.88;0;460.63;A;27330;7477.13;0;426.43
LOAN_001260;4;;2025-10-24;38640;32260;6021.30;0;324.85;A;33530;5155.83;0;304.74
LOAN_001260;5;;2025-11-24;39570;40160;4696.25;0;216.98;A;35110;4613.85;0;188.53
LOAN_001260;6;;2025-12-25;43550;38940;1953.73;0;98.21;A;41360;1991.27;0;95.38
LOAN_001184;1;;2025-09-13;14910;13280;0;0;0;A;14370;0;0;0
LOAN_000389;1;;2025-09-09;4710;4090;0;0;0;A;4470;0;0;0
LOAN_001043;1;;2025-09-06;3970;4500;0;0;0;A;4280;0;0;0
LOAN_001951;1;;2025-09-11;34580;37830;0;0;0;A;42790;0;0;0
LOAN_001209;1;;2025-07-30;8320;9030;847.02;0;35.17;A;9600;742.64;0;38.98
LOAN_001209;2;;2025-08-30;9000;9400;430.27;0;24.19;A;9990;378.97;0;21.26
LOAN_001777;1;;2025-09-01;36750;38840;0;0;0;A;40280;0;0;0
LOAN_001164;1;;2025-09-04;5750;6000;0;0;0;A;6660;0;0;0
LOAN_003410;1;;2025-07-28;47650;40740;5993.03;0;250.49;A;43000;5560.62;0;260.68
LOAN_003410;2;;2025-08-28;48530;45720;3485.74;0;159.38;A;41970;3031.14;0;148.95
LOAN_001976;1;;2025-07-28;20210;15950;8741.98;0;456.28;A;16170;7022.98;0;466.06
LOAN_001976;10;;2026-04-29;23810;22650;950.44;0;52.83;A;20960;1164.47;0;49.88
LOAN_001976;2;;2025-08-28;25870;12710;8358.03;0;431.50;A;14720;9054.80;0;398.38
LOAN_001976;3;;2025-09-26;20310;14310;6983.71;0;315.12;A;16650;7559.90;0;356.32
LOAN_001976;4;;2025-10-28;22730;14760;7387.02;0;340.74;A;14910;6328.82;0;344.05
LOAN_001976;5;;2025-11-27;20910;18860;4980.13;0;323.96;A;16660;5361.90;0;305.42
LOAN_001976;6;;2025-12-26;21070;16630;4807.55;0;203.78;A;15360;4286.10;0;268.70
LOAN_001976;7;;2026-01-28;20430;19230;4417.66;0;232.54;A;16220;4640.24;0;228.75
LOAN_001976;8;;2026-02-27;23990;20290;2720.29;0;172.07;A;19250;2691.39;0;162.14
LOAN_001976;9;;2026-03-30;25050;22270;2458.31;0;101.68;A;19860;2197.02;0;122.70
LOAN_001798;1;;2025-09-14;16320;13390;0;0;0;A;12380;0;0;0
LOAN_001477;1;;2025-09-10;25440;26450;0;0;0;A;31460;0;0;0
LOAN_002773;1;;2025-09-14;4680;4300;0;0;0;A;5140;0;0;0
LOAN_000099;1;;2025-09-01;51180;56210;0;0;0;A;53250;0;0;0
LOAN_001158;1;;2025-09-14;14250;14700;0;0;0;A;16620;0;0;0
LOAN_003925;1;;2025-07-16;8510;9320;0;0;0;A;7320;0;0;0
LOAN_003925;2;;2025-08-13;9380;8360;0;0;0;A;8200;0;0;0
LOAN_003925;3;;2025-09-13;7360;7670;0;0;0;A;7420;0;0;0
LOAN_003925;4;;2025-10-13;9400;7300;0;0;0;A;8650;0;0;0
LOAN_003925;5;;2025-11-13;7600;7870;0;0;0;A;9080;0;0;0
LOAN_003925;6;;2025-12-13;9120;8640;0;0;0;A;8290;0;0;0
LOAN_003134;1;;2025-09-15;1590;1570;0;0;0;A;1360;0;0;0
LOAN_003736;1;;2025-07-22;75140;64630;10425.91;0;512.81;A;64110;9596.96;0;500.30
LOAN_003736;2;;2025-08-19;84340;65480;6095.46;0;315.00;A;60660;6416.70;0;338.97
LOAN_003736;3;;2025-09-18;64930;67940;3967.95;0;177.12;A;66760;3562.68;0;182.06
LOAN_003481;1;;2025-07-25;13300;7430;5600.66;0;287.23;A;9190;4963.86;0;253.02
LOAN_003481;10;;2026-04-27;13370;11770;685.31;0;43.56;A;11290;771.54;0;42.03
LOAN_003481;2;;2025-08-22;15360;8720;5454.09;0;237.59;A;7330;5242.74;0;258.52
LOAN_003481;3;;2025-09-22;14680;8920;5301.46;0;276.23;A;9480;5064.07;0;205.63
LOAN_003481;4;;2025-10-22;12940;10050;4006.53;0;234.34;A;10070;4498.00;0;213.07
LOAN_003481;5;;2025-11-21;13070;8750;4196.15;0;211.19;A;9050;4084.79;0;165.32
LOAN_003481;6;;2025-12-22;13300;11390;3574.18;0;161.72;A;8500;3518.11;0;156.60
LOAN_003481;7;;2026-01-22;12320;10650;2665.11;0;132.87;A;11870;2721.34;0;149.15
LOAN_003481;8;;2026-02-20;13450;13050;2193.45;0;102.10;A;12870;2049.93;0;85.75
LOAN_003481;9;;2026-03-24;13900;10790;1399.34;0;67.62;A;10870;1396.25;0;81.24
LOAN_002835;1;;2025-09-02;14930;14520;0;0;0;A;15470;0;0;0
LOAN_000087;1;;2025-07-30;407060;303570;24389.86;0;1377.38;A;368560;25314.46;0;1408.36
LOAN_000087;2;;2025-08-30;300950;286260;18615.13;0;1057.78;A;365030;21291.31;0;1123.30
LOAN_000087;3;;2025-09-29;313820;366700;9143.97;0;553.08;A;370580;10345.56;0;515.80
LOAN_003316;1;;2025-09-06;8130;6600;0;0;0;A;8370;0;0;0
LOAN_002504;1;;2025-07-22;1550;1300;323.47;0;15.43;A;1400;327.74;0;14.09
LOAN_002504;2;;2025-08-19;1800;1530;219.69;0;12.67;A;1330;271.25;0;10.33
LOAN_002504;3;;2025-09-19;1620;1430;224.35;0;9.84;A;1280;187.21;0;12.39
LOAN_002504;4;;2025-10-17;1420;1270;146.88;0;8.33;A;1530;160.59;0;6.41
LOAN_002504;5;;2025-11-19;1730;1390;126.47;0;6.66;A;1390;111.20;0;5.63
LOAN_002504;6;;2025-12-19;1850;1610;63.85;0;3.02;A;1560;63.63;0;2.79
LOAN_003144;1;;2025-07-28;20970;22210;5011.19;0;210.19;A;20900;5196.90;0;236.77
LOAN_003144;2;;2025-08-28;23660;17430;3485.40;0;177.32;A;21410;4413.86;0;212.77
LOAN_003144;3;;2025-09-26;22690;22520;2536.93;0;136.60;A;19330;2910.51;0;131.06
LOAN_003144;4;;2025-10-28;27100;22970;1494.02;0;78.49;A;23160;1308.78;0;69.41
LOAN_003971;1;;2025-09-07;13680;14080;0;0;0;A;16470;0;0;0
LOAN_002130;1;;2025-07-16;8110;8800;0;0;0;A;7330;0;0;0
LOAN_002130;2;;2025-08-13;7200;7220;0;0;0;A;8890;0;0;0
LOAN_002130;3;;2025-09-13;8090;9150;0;0;0;A;7330;0;0;0
LOAN_002130;4;;2025-10-13;8820;9090;0;0;0;A;9580;0;0;0
LOAN_002130;5;;2025-11-13;8700;7710;0;0;0;A;8100;0;0;0
LOAN_002130;6;;2025-12-13;7900;8100;0;0;0;A;7380;0;0;0
LOAN_002708;1;;2025-07-25;62900;43160;9160.90;0;480.64;A;51160;7893.60;0;423.09
LOAN_002708;2;;2025-08-22;61340;47270;5529.23;0;343.00;A;55210;5338.67;0;292.93
LOAN_002708;3;;2025-09-24;48950;48210;3685.98;0;159.97;A;46600;3734.22;0;159.53
LOAN_003452;1;;2025-08-30;19380;18310;0;0;0;A;20400;0;0;0
LOAN_002357;1;;2025-07-18;4000;2310;1586.28;0;71.57;A;2840;1700.90;0;79.62
LOAN_002357;2;;2025-08-15;4630;2780;1087.09;0;67.79;A;2530;1133.58;0;65.93
LOAN_002357;3;;2025-09-15;4470;2860;1180.52;0;59.61;A;2600;1381.84;0;54.94
LOAN_002357;4;;2025-10-15;4170;3240;956.09;0;51.17;A;3020;925.46;0;59.32
LOAN_002357;5;;2025-11-14;4900;3590;918.86;0;51.53;A;3680;912.77;0;43.82
LOAN_002357;6;;2025-12-15;4740;3080;881.59;0;40.65;A;3400;720.17;0;41.46
LOAN_002357;7;;2026-01-15;3990;3790;590.55;0;33.88;A;3360;531.99;0;25.53
LOAN_002357;8;;2026-02-13;4810;3610;389.97;0;17.53;A;3500;415.79;0;21.73
LOAN_002357;9;;2026-03-18;4550;4250;208.04;0;10.16;A;4430;217.30;0;10.39
LOAN_001882;1;;2025-09-13;24230;21160;0;0;0;A;25460;0;0;0
LOAN_002689;1;;2025-07-25;11030;10620;1600.30;0;77.14;A;12590;1304.79;0;83.69
LOAN_002689;2;;2025-08-22;12140;12380;974.89;0;50.59;A;10900;1129.73;0;56.56
LOAN_002689;3;;2025-09-24;13480;11440;596.35;0;27.45;A;10440;625.82;0;27.99
LOAN_000815;1;;2025-09-08;24580;26320;0;0;0;A;27340;0;0;0
LOAN_002926;1;;2025-09-13;4430;4860;0;0;0;A;5090;0;0;0
LOAN_002404;1;;2025-09-09;4070;3910;0;0;0;A;3770;0;0;0
LOAN_000651;1;;2025-09-11;22100;19230;0;0;0;A;17340;0;0;0
LOAN_002344;1;;2025-09-13;22450;22180;0;0;0;A;24230;0;0;0
LOAN_004117;1;;2025-09-04;11380;13240;0;0;0;A;14090;0;0;0
LOAN_002797;1;;2025-07-17;47340;41760;7125.56;0;357.96;A;42970;6144.68;0;277.89
LOAN_002797;2;;2025-08-14;48950;48330;3361.57;0;167.17;A;45430;3854.92;0;187.76
LOAN_002797;3;;2025-09-14;43670;50200;1918.23;0;96.89;A;42590;2282.17;0;100.10
LOAN_001613;1;;2025-09-06;24890;25400;0;0;0;A;25110;0;0;0
LOAN_003998;1;;2025-09-08;34430;35670;0;0;0;A;35070;0;0;0
LOAN_001753;1;;2025-09-12;14680;15120;0;0;0;A;16110;0;0;0
LOAN_002178;1;;2025-08-29;44900;50270;0;0;0;A;42190;0;0;0
LOAN_002422;1;;2025-07-25;9110;8940;905.24;0;50.57;A;8050;885.62;0;42.13
LOAN_002422;2;;2025-08-22;9220;8940;849.94;0;35.30;A;7730;762.16;0;35.55
LOAN_002422;3;;2025-09-24;9960;8870;697.87;0;41.88;A;7350;748.80;0;32.68
LOAN_002422;4;;2025-10-24;8500;8240;559.37;0;23.96;A;9490;521.06;0;29.42
LOAN_002422;5;;2025-11-24;8050;7680;395.07;0;17.52;A;8500;317.37;0;19.52
LOAN_002422;6;;2025-12-24;8910;8070;162.25;0;9.06;A;7890;164.21;0;7.90
LOAN_002269;1;;2025-09-01;41460;53110;0;0;0;A;55130;0;0;0
LOAN_002781;1;;2025-07-25;8790;8450;818.20;123.48;46.52;A;7150;993.47;141.84;39.50
LOAN_002781;2;;2025-08-22;8890;8920;754.63;105.21;34.26;A;7330;727.39;121.08;36.94
LOAN_002781;3;;2025-09-24;9390;8210;717.26;106.53;38.35;A;6930;799.21;113.58;35.95
LOAN_002781;4;;2025-10-24;10180;7670;571.36;69.30;22.18;A;9140;520.76;79.53;23.15
LOAN_002781;5;;2025-11-24;9080;7580;372.39;60.55;15.31;A;7460;373.37;49.56;20.12
LOAN_002781;6;;2025-12-25;9700;7810;173.53;30.86;10.18;A;7620;166.64;26.22;7.92
